# t	M_D	M_d	R_out	R_C	R_68	R_95	M_acc
# yr	g	g	AU	AU	AU	AU	Msun/yr
0.000000000000000000e+00	9.945024888370494329e+31	9.945024888370494329e+29	1.547326402676393172e+03	1.500000000000000000e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.385466229461563171e-09
9.999999999999998863e+02	9.944410120500746319e+31	9.942205371434095163e+29	1.547326402676393172e+03	1.500304650559119182e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.169551367714001779e-09
1.047000000000000000e+03	9.944380952734040226e+31	9.942046889493553560e+29	1.547326402676393172e+03	1.500319489952078129e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.170039244133949128e-09
1.096000000000000000e+03	9.944350528992755087e+31	9.941879187218142174e+29	1.547326402676393172e+03	1.500334976843822403e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.170554786396668089e-09
1.148000000000000000e+03	9.944318226888386365e+31	9.941698458026569161e+29	1.547326402676393172e+03	1.500351427013501109e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.171117651073122689e-09
1.202000000000000000e+03	9.944284666062214002e+31	9.941507769250256421e+29	1.547326402676393172e+03	1.500368523431324377e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.171700783292621667e-09
1.258000000000000000e+03	9.944249845422187146e+31	9.941306777794057483e+29	1.547326402676393172e+03	1.500386264440628281e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.172291450797819898e-09
1.318000000000000000e+03	9.944212519568515545e+31	9.941087777375240256e+29	1.547326402676393172e+03	1.500405281958695412e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.172929464533160063e-09
1.380000000000000000e+03	9.944173930930447564e+31	9.940857515173140649e+29	1.547326402676393172e+03	1.500424939744029871e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.173592269848144092e-09
1.445000000000000000e+03	9.944133455687341187e+31	9.940611783555521310e+29	1.547326402676393172e+03	1.500445551531695116e+02	1.707639929024602168e+02	4.492195168526090470e+02	3.174253115137884591e-09
1.513000000000000000e+03	9.944091092218096907e+31	9.940349982325512245e+29	1.547326402676393172e+03	1.500467113332978499e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.174941986081001656e-09
1.584000000000000227e+03	9.944046838990685605e+31	9.940071486529345509e+29	1.547326402676393172e+03	1.500489620344226580e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.175663086494964931e-09
1.659000000000000000e+03	9.944000070604957403e+31	9.939771591744545478e+29	1.548897756380787087e+03	1.500515399421609857e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.176373568692854706e-09
1.737000000000000000e+03	9.943951408843284572e+31	9.939453502277371882e+29	1.548897756380787087e+03	1.500540151095958379e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.177111231567081988e-09
1.819000000000000000e+03	9.943900228026827279e+31	9.939112300261202295e+29	1.548897756380787087e+03	1.500566143336234290e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.177857057193252268e-09
1.905000000000000000e+03	9.943846526024889308e+31	9.938746985664083342e+29	1.548897756380787087e+03	1.500593365837590341e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.178609120576811504e-09
1.995000000000000000e+03	9.943790300867421442e+31	9.938356519456500195e+29	1.548897756380787087e+03	1.500621806981992563e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.179376155805360591e-09
2.089000000000000000e+03	9.943731550607531974e+31	9.937939811279831187e+29	1.548897756380787087e+03	1.500651453610177271e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.180126895642864693e-09
2.187000000000000000e+03	9.943670273569136045e+31	9.937495742950006573e+29	1.548897756380787087e+03	1.500682291473199825e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.180900822692679254e-09
2.290000000000000000e+03	9.943605842346547996e+31	9.937018450450732466e+29	1.548897756380787087e+03	1.500714618154537732e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.181643442756313253e-09
2.398000000000000000e+03	9.943538254730038840e+31	9.936506406776271709e+29	1.548897756380787087e+03	1.500748413998446154e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.182407129584147985e-09
2.511000000000000000e+03	9.943467508585853515e+31	9.935958006941179227e+29	1.548897756380787087e+03	1.500783657383261414e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.183151585152492858e-09
2.630000000000000000e+03	9.943392975541233999e+31	9.935366555304007203e+29	1.548897756380787087e+03	1.500820635268619583e+02	1.712862719568636578e+02	4.492195168526090470e+02	3.183892814746157379e-09
2.754000000000000000e+03	9.943315279885697470e+31	9.934735107573615538e+29	1.548897756380787087e+03	1.500859010396396513e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.184644301104972679e-09
2.884000000000000000e+03	9.943233793073138755e+31	9.934056558189353331e+29	1.548897756380787087e+03	1.500899063642019087e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.185347058930922515e-09
3.019000000000000000e+03	9.943149140294699277e+31	9.933334054029133011e+29	1.548897756380787087e+03	1.500940457362065104e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.186053612827663909e-09
3.162000000000000000e+03	9.943059438258224557e+31	9.932548962389956302e+29	1.548897756380787087e+03	1.500984075557366282e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.186753906220472223e-09
3.311000000000000455e+03	9.942965939289289871e+31	9.931709363715056304e+29	1.548897756380787087e+03	1.501029268316473804e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.187419615903883191e-09
3.467000000000000000e+03	9.942868014266240825e+31	9.930806821262587238e+29	1.548897756380787087e+03	1.501076300328988964e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.188062773456526375e-09
3.630000000000000000e+03	9.942765661552287369e+31	9.929838195499745898e+29	1.548897756380787087e+03	1.501125129247572545e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.188691412155386954e-09
3.801000000000000455e+03	9.942658251563469796e+31	9.928794033674092537e+29	1.548897756380787087e+03	1.501176008428177795e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.189299734525874855e-09
3.981000000000000000e+03	9.942545154240365374e+31	9.927664066688848346e+29	1.548897756380787087e+03	1.501229182243840796e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.189879642526808676e-09
4.168000000000000000e+03	9.942427624937715526e+31	9.926456787816132341e+29	1.548897756380787087e+03	1.501284009592795314e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.190442425907440649e-09
